框架,设备,qwen3-1.7b,llama3.1-8b,gpt-oss-20b,qwen3-32b,qwen3-235b-lora,框架,设备,qwen3-1.7b,llama3.1-8b,gpt-oss-20b,qwen3-32b,qwen3-235b-lora
Deepspeed-Zero2,4090,10170.99,OOM,OOM,OOM,OOM,Deepspeed-Zero2,4090,7k,OOM,OOM,OOM,OOM
Deepspeed-Zero-inf,4090,7035.23,1843.39,645.51,217.82,OOM,Deepspeed-Zero-inf,4090,9k,9k,6k,6k,OOM
FSDP-Zero3,4090,13277.07,1923.77,OOM,OOM,OOM,FSDP-Zero3,4090,10k,5k,OOM,OOM,OOM
Megatron-PP,4090,39081.21,16412.18,OOM,OOM,OOM,Megatron-PP,4090,9k,5k,OOM,OOM,OOM
Megatron-TP,4090,2132.1,920.81,OOM,OOM,N/A,Megatron-TP,4090,62k,20k,OOM,OOM,N/A
Mobius,4090,39370.22,11288.46,8405.36,2551.63,OOM,Mobius,4090,9k,9k,6k,6k,OOM
RoundPipe,4090,65416.83,24274.54,18121.59,5516.22,1819.61,RoundPipe,4090,73k,49k,39k,28k,31k
RoundPipe-sync,4090,56489.04,18888.43,12549.3,4163.62,1592.46,, ,,,,,
Deepspeed-Zero2,A800,75587.93,24606.95,OOM,OOM,OOM,Deepspeed-Zero2,A800,33k,26k,OOM,OOM,OOM
Deepspeed-Zero-inf,A800,64851.21,18616.11,9993.91,3399.28,1094.52,Deepspeed-Zero-inf,A800,34k,34k,26k,27k,21k
FSDP-Zero3,A800,85829.26,29148.46,20682.27,3454.77,OOM,FSDP-Zero3,A800,39k,29k,18k,11k,OOM
Megatron-PP,A800,52356.8,23672.01,21350.91,OOM,986.17,Megatron-PP,A800,45k,45k,11k,OOM,7k
Megatron-TP,A800,48546.63,17939.76,22935.31,4276.46,N/A,Megatron-TP,A800,242k,184k,108k,7k,N/A
RoundPipe,A800,84691.82,28427.01,26202.55,6301.19,2132.29,RoundPipe,A800,288k,226k,192k,126k,118k
RoundPipe-sync,A800,66242.79,22702.59,15611.54,5179.61,1680.41,,,,,,,
,4090s,qwen3-1.7b,llama3.1-8b,gpt-oss-20b,qwen3-32b,qwen3-235b-lora
,0,0,0,0,0,0
,1,8880.99,3142.17,3021.89,740.46,480.3
,2,17025.55,6259.09,5591.79,1476.11,807.87
,3,25702.44,9221.6,8016.41,2203.82,1088.4
,4,33178.39,12277.77,9670.3,2897.08,1281.49
,5,42026.2,15342.93,12530.59,3599.81,1509.48
,6,48829.86,18363.22,14926.34,4290.25,1635.75
,7,57598.61,21296.67,16522.61,4913.34,1742.93
,8,65416.83,24274.54,18121.59,5516.22,1819.61
seq len,512,1024,2048,4096,8192,16384,32768,65536,,,,,
Qwen3-1.7B,68101.64,67783.21,65416.83,60928.68,54609.5626,45389.52,33722.508,23734.4,,,,,
